time,OBS1
0.1000000000000E-04,140.0000000000000
18.25001000000,139.5893939314879
36.50001000000,139.5487337468354
54.75001000000,139.5400284920444
73.00001000000,139.5367047715021
91.25001000000,139.5349789853007
109.5000100000,139.5339156381678
127.7500100000,139.5331865390968
146.0000100000,139.5326479606864
164.2500100000,139.5322286833910
182.5000100000,139.5318887737899
200.7500100000,139.5316043697967
219.0000100000,139.5313603989332
237.2500100000,139.5311466437424
255.5000100000,139.5309562457620
273.7500100000,139.5307842932962
292.0000100000,139.5306271728484
310.2500100000,139.5304821725239
328.5000100000,139.5303472084797
346.7500100000,139.5302206757571
365.0000100000,139.5301013541151
